"Native.ID","Network.ID","Network.Name","Station.ID","Station.Name","History.ID","Province","Longitude","Latitude","Elevation..m.","Record.Start","Record.End","Obs.Freq","Variables","TEMP"
"AKI",5,"BCH",2428,"Akie nr the 760m contour,2428",2831,"BC",-124.8955556,57.18833333,760,"1982-10-16","2024-11-19","Daily","Precipitation Amount|Precipitation Climatology|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)",16.22
"AKN",5,"BCH",2429,"Aiken Lake,2429",2832,"BC",-125.7416667,56.43666667,970,"1960-01-02","2024-11-19","Daily","Precipitation Amount|Precipitation Climatology|Snow Water Equivalent|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)",15.68
"ALU",5,"BCH",2430,"Alouette Lake forebay,2430",2833,"BC",-122.4862139,49.28744167,125,"1960-01-02","2024-11-19","Daily","Precipitation Amount|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)",20.93
"ASH",5,"BCH",2431,"Elsie Lk forebay,2431",2834,"BC",-125.1438333,49.44055556,340,"1980-10-22","2024-11-19","Daily","Precipitation Amount|Precipitation Climatology|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)",20.05
"BAR",5,"BCH",2432,"Barnes Ck,2432",2835,"BC",-118.3492167,50.06601667,1620,"1960-01-02","2024-11-19","Daily","Precipitation Amount|Precipitation Climatology|Snow Water Equivalent|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)",14.77
"BCK",5,"BCH",2433,"Bear Ck Res.,2433",2836,"BC",-123.9138889,48.50333333,419,"1980-10-22","2024-11-19","Daily","Precipitation Amount|Precipitation Climatology|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)",20.5
"BIR",5,"BCH",2434,"Columbia R. @ Birchbank,2434",2837,"BC",-117.7163889,49.17777778,410,"1987-05-30","2024-09-20","Daily","Precipitation Amount|Precipitation Climatology|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)",24.05
"BLN",5,"BCH",2435,"Bralorne Upper,2435",2838,"BC",-122.74525,50.79927778,1920,"1984-01-02","2024-09-13","Daily","Precipitation Amount|Precipitation Climatology|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)",12.02
"BMN",5,"BCH",2436,"Brenda Mines,2436",2839,"BC",-119.9888889,49.86805556,1460,"1993-01-27","2024-11-19","Daily","Precipitation Amount|Precipitation Climatology|Snow Water Equivalent|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)",16.76
"BRI",5,"BCH",2437,"Bridge R. blw Glacier,2437",2840,"BC",-123.4502778,50.85611111,1350,"1982-01-02","2024-10-02","Daily","Precipitation Amount|Precipitation Climatology|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)",14.35
"BUL",5,"BCH",2438,"Bull R. @ Wardner,2438",2841,"BC",-115.3638889,49.49305556,800,"1982-09-05","2024-11-19","Daily","Precipitation Amount|Precipitation Climatology|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)",19.36
"BVR",5,"BCH",2439,"Beaver R. nr the Mouth,2439",2842,"BC",-117.4616667,51.50972222,780,"1985-01-02","2021-12-14","Daily","Precipitation Amount|Precipitation Climatology|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)",19.48
"CHK",5,"BCH",2440,"Cheakamus R. ab Millar Ck,2440",2843,"BC",-123.0338889,50.07972222,640,"1960-01-02","2024-10-02","Daily","Precipitation Amount|Precipitation Climatology|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)",19.24
"CHW",5,"BCH",2441,"Chowade Upper,2441",2844,"BC",-122.7788667,56.63683333,1480,"1980-09-15","2024-11-19","Daily","Precipitation Amount|Precipitation Climatology|Snow Water Equivalent|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)",12.38
"CLO",5,"BCH",2442,"Clowhom Falls,2442",2845,"BC",-123.5222222,49.70833333,10,"1960-01-02","2024-11-19","Daily","Precipitation Amount|Precipitation Climatology|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)",20.96
"CLW",5,"BCH",2443,"Clowhom R. nr Clowhom Lake,2443",2846,"BC",-123.4202778,49.78777778,125,"1993-01-02","2024-10-02","Daily","Precipitation Amount|Precipitation Climatology|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)",19.83
"CMU",5,"BCH",2445,"Upper Cheakamus,2445",2848,"BC",-123.1333333,50.12222222,880,"1960-01-02","2024-11-03","Daily","Precipitation Amount|Precipitation Climatology|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)",17.52
"CMX",5,"BCH",2446,"Comox Dam forebay,2446",2849,"BC",-125.0944444,49.64305556,135,"1980-10-22","2024-11-19","Daily","Precipitation Amount|Precipitation Climatology|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)",20.12
"COQ",5,"BCH",2447,"Coquitlam Lake forebay,2447",2850,"BC",-122.779625,49.35558611,160,"1960-01-02","2024-09-29","Daily","Precipitation Amount|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)",21.9
"COX",5,"BCH",2448,"Comox Lake @ Courtenay,2448",2851,"BC",-125.08,49.64,140,"1993-03-30","2021-12-14","Daily","Precipitation Amount|Precipitation Climatology|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)",19.66
"CQM",5,"BCH",2449,"Coquitlam R. ab Lake,2449",2852,"BC",-122.7924861,49.48829444,290,"1960-01-02","2024-09-29","Daily","Precipitation Amount|Precipitation Climatology|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)",19.81
"CRU",5,"BCH",2450,"Cruickshank R. nr the Mouth,2450",2853,"BC",-125.2008333,49.57916667,150,"1980-10-22","2024-09-28","Daily","Precipitation Amount|Precipitation Climatology|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)",21.47
"DBC",5,"BCH",2452,"Duncan R. blw BB Ck,2452",2855,"BC",-117.0489361,50.63838333,590,"1960-01-02","2024-09-30","Daily","Precipitation Amount|Precipitation Climatology|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)",20.4
"DCN",5,"BCH",2453,"Duncan Res. @ Duncan Dam,2453",2856,"BC",-116.9483333,50.255,580,"1984-08-24","2024-09-22","Daily","Precipitation Amount|Precipitation Climatology|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)",20.08
"EAC",5,"BCH",2454,"East Ck - snowpillow,2454",2857,"BC",-116.9297333,50.6396,2030,"1960-01-02","2024-11-19","Daily","Precipitation Amount|Precipitation Climatology|Snow Water Equivalent|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)",11.48
